Category: All categories

Week,LeBron James: (United States),Kevin Durant: (United States),James Harden: (United States),Stephen Curry: (United States),Giannis Antetokounmpo: (United States)
2025-02-02,97,43,8,29,16
2025-02-09,61,16,6,26,7
2025-02-16,65,15,6,23,9
2025-02-23,70,13,7,32,11
2025-03-02,87,14,10,32,8
2025-03-09,73,11,7,35,11
2025-03-16,60,11,7,34,10
2025-03-23,79,11,7,25,7
2025-03-30,69,10,7,31,9
2025-04-06,68,9,6,26,10
2025-04-13,56,8,9,23,7
2025-04-20,65,6,11,28,9
2025-04-27,100,6,12,40,25
2025-05-04,55,8,10,72,9
2025-05-11,45,8,3,50,17
2025-05-18,40,7,4,15,11
2025-05-25,41,8,4,13,8
2025-06-01,34,12,3,12,10
2025-06-08,29,24,3,11,6
2025-06-15,32,22,3,11,6
2025-06-22,35,61,7,12,10
2025-06-29,50,10,4,11,14
2025-07-06,38,10,3,11,7
2025-07-13,45,6,3,12,5
2025-07-20,34,6,3,11,4
2025-07-27,28,5,8,11,4
2025-08-03,24,5,3,10,4
2025-08-10,23,6,2,9,3
2025-08-17,23,5,2,9,3
2025-08-24,27,4,2,9,3
2025-08-31,25,4,2,8,4
2025-09-07,28,5,2,11,3
2025-09-14,24,4,2,9,3
2025-09-21,24,5,2,8,3
2025-09-28,30,6,2,11,3
2025-10-05,84,6,2,19,6
2025-10-12,31,7,4,22,6
2025-10-19,51,24,6,34,8
2025-10-26,38,11,7,23,19
2025-11-02,35,12,7,20,13
2025-11-09,38,9,7,42,11
2025-11-16,55,12,10,35,12
2025-11-23,42,10,10,33,10
2025-11-30,54,10,7,25,34
2025-12-07,48,9,6,23,15
2025-12-14,39,9,5,24,7
2025-12-21,42,15,6,27,8
2025-12-28,55,9,6,23,11
2026-01-04,43,10,6,22,9
2026-01-11,40,11,5,21,8
2026-01-18,41,11,6,21,11
2026-01-25,44,11,5,24,32
2026-02-01,48,13,52,21,71
