Category: All categories

Week,Damian Lillard: (United States),Anthony Edwards: (United States),Ja Morant: (United States),Zion Williamson: (United States),LaMelo Ball: (United States)
2025-02-02,16,33,24,19,46
2025-02-09,15,49,26,14,43
2025-02-16,16,37,24,11,53
2025-02-23,13,46,26,18,48
2025-03-02,11,43,23,20,37
2025-03-09,15,29,21,15,26
2025-03-16,14,29,14,14,29
2025-03-23,16,22,17,10,23
2025-03-30,9,73,52,11,16
2025-04-06,10,40,36,8,14
2025-04-13,17,33,48,7,12
2025-04-20,27,68,55,4,11
2025-04-27,55,98,16,4,10
2025-05-04,5,100,12,4,10
2025-05-11,7,74,11,5,10
2025-05-18,4,79,10,4,10
2025-05-25,5,84,9,30,9
2025-06-01,4,16,9,17,8
2025-06-08,3,14,9,5,8
2025-06-15,4,11,15,4,9
2025-06-22,10,12,10,8,24
2025-06-29,77,10,8,4,14
2025-07-06,21,10,8,5,13
2025-07-13,53,9,8,4,10
2025-07-20,14,10,9,3,9
2025-07-27,6,9,8,3,10
2025-08-03,5,10,7,3,8
2025-08-10,3,15,9,2,7
2025-08-17,3,10,8,2,8
2025-08-24,3,10,8,2,8
2025-08-31,3,9,7,2,8
2025-09-07,3,8,9,2,8
2025-09-14,3,7,10,2,8
2025-09-21,4,8,10,38,9
2025-09-28,4,10,9,8,10
2025-10-05,4,11,11,4,11
2025-10-12,4,12,10,5,13
2025-10-19,10,26,21,13,20
2025-10-26,7,37,32,19,33
2025-11-02,8,24,59,13,21
2025-11-09,5,21,39,8,23
2025-11-16,6,25,25,15,35
2025-11-23,8,25,33,9,22
2025-11-30,5,32,19,13,20
2025-12-07,4,29,23,6,12
2025-12-14,4,32,21,10,15
2025-12-21,5,36,20,13,25
2025-12-28,6,22,23,11,21
2026-01-04,5,31,34,18,28
2026-01-11,5,23,62,13,21
2026-01-18,5,25,28,10,27
2026-01-25,5,32,29,14,21
2026-02-01,7,26,52,16,22
