athlete,bucket,brand_signed_with,ig_follower_count,engagement_rate_pct,google_trends_pct_change,has_signature_shoe
Lebron James,Established Signature,Nike,157000000,0.0016,-0.3517,Y
Stephen Curry,Established Signature,FA,58300000,0.0092,-0.1308,Y
Lonzo Ball,Mixed Outcome,FA,17700000,0.0027,0.0228,Y
Klay Thompson,Mixed Outcome,Anta,16700000,0.0212,0.0905,Y
Giannis Antetokounmpo,Established Signature,Nike,16000000,0.032,1.0,Y
Kevin Durant,Established Signature,Nike,13600000,0.0608,-0.222,Y
James Harden,Established Signature,Adidas,12000000,0.0045,0.3628,Y
Lamelo Ball,Young Signature,Puma,10600000,0.0395,-0.2484,Y
Damian Lillard,Established Signature,Adidas,9900000,0.0032,-0.6367,Y
Ja Morant,Young Signature,Nike,9400000,0.0494,0.0082,Y
Bronny James,Marketable Role Players,Nike,7500000,0.0956,-0.5421,N
Anthony Edwards,Young Signature,Adidas,5100000,0.0325,-0.3266,Y
Zion Williamson,Young Signature,Jordan,4800000,0.0202,-0.0199,Y
Tyrese Haliburton,Young Signature,Puma,2300000,0.0277,-0.3868,Y
Jordan Clarkson,Marketable Role Players,Nike,2000000,0.0265,0.5587,N
Andrew Wiggins,Mixed Outcome,Peak,2000000,0.044,-0.6173,Y
Austin Reaves,Marketable Role Players,Rigorer,1500000,0.0591,-0.1053,Y
Alperen Sengun,High-Value Targets,Nike,1300000,0.1835,0.1463,N
Jamal Murray,High-Value Targets,New Balance,1200000,0.0535,0.0443,N
Cade Cunningham ,Young Signature,Nike,968000,0.0866,0.0464,Y
Chet Holmgren,High-Value Targets,Nike,949000,0.0741,0.0474,N
Tyrese Maxey,Young Signature,New Balance,932000,0.0478,1.0769,Y
Jrue Holiday,High-Value Targets,Nike,862000,0.0633,-0.2954,N
Pascal Siakam,High-Value Targets,Nike,853000,0.0077,0.0883,N
Scottie Barnes,High-Value Targets,Nike,807000,0.0282,0.2536,N
Jalen WIlliams,High-Value Targets,Adidas,540000,0.113,0.0056,N
Amen Thompson,High-Value Targets,Nike,497000,0.126,-0.1846,N
Mikal Bridges,Marketable Role Players,Nike,492000,0.0907,-0.189,N
Domantas Sabonis,High-Value Targets,Nike,368000,0.0184,-0.5106,N
Deni Avdija,Young Signature,FA,348000,0.1962,0.9824,Y
Norman Powell,High-Value Targets,Sketchers,346000,0.0201,0.1702,N
Ausar Thompson,High-Value Targets,Nike,344000,0.1009,-0.3322,N
Stephon Castle ,High-Value Targets,Nike,297000,0.189,0.2097,N
Evan Mobley,High-Value Targets,Adidas,258000,0.052,-0.3619,N
Brandon Miller,High-Value Targets,Nike,250000,0.0186,3.1496,N
Jalen Duren ,High-Value Targets,Nike,213000,0.1311,0.0994,N
Shaedon Sharpe,High-Value Targets,Nike,194000,0.1481,0.5355,N
Keyonte George,High-Value Targets,Nike,180000,0.148,2.1429,N
Alex Sarr,High-Value Targets,Decathlon,135000,0.1487,0.3043,N
Zaccharie Risacher,High-Value Targets,FA,126000,0.066,-0.3945,N
Walker Kessler,High-Value Targets,Adidas,109000,0.0077,-0.7958,N
