athlete,bucket,brand_signed_with,has_signature_shoe,age,current_team,position,google_trends_pct_change,engagement_rate_pct,usage_rate_pct,minutes_per_game,ig_follower_count,endorsement_score
Keyonte George,High-Value Targets,Nike,N,20,Jazz,PG,2.1429,0.148,0.243,31.5,180000,0.7212
Tyrese Maxey,Young Signature,New Balance,Y,25,76ers,PG,1.0769,0.0478,0.301,37.7,932000,0.7025
Alperen Sengun,High-Value Targets,Nike,N,23,Rockets,C,0.1463,0.1835,0.263,31.5,1300000,0.7
Shaedon Sharpe,High-Value Targets,Nike,N,22,Trail Blazers,SG,0.5355,0.1481,0.251,31.3,194000,0.6838
Deni Avdija,Young Signature,FA,Y,25,Trail Blazers,SF,0.9824,0.1962,0.232,30.0,348000,0.6687
Giannis Antetokounmpo,Established Signature,Nike,Y,31,Bucks,PF,1.0,0.032,0.352,34.2,16000000,0.6675
Stephon Castle ,High-Value Targets,Nike,N,21,Spurs,PG,0.2097,0.189,0.259,26.7,297000,0.665
Cade Cunningham ,Young Signature,Nike,Y,24,Pistons,PG,0.0464,0.0866,0.332,35.0,968000,0.6587
Alex Sarr,High-Value Targets,Decathlon,N,20,Wizards,C,0.3043,0.1487,0.236,27.1,135000,0.6362
Brandon Miller,High-Value Targets,Nike,N,23,Hornets,SF,3.1496,0.0186,0.277,34.2,250000,0.5762
Jalen WIlliams,High-Value Targets,Adidas,N,24,Thunder,SG,0.0056,0.113,0.275,32.4,540000,0.5687
Scottie Barnes,High-Value Targets,Nike,N,24,Raptors,PF,0.2536,0.0282,0.272,32.8,807000,0.545
Jalen Duren ,High-Value Targets,Nike,N,22,Pistons,C,0.0994,0.1311,0.164,26.1,213000,0.515
Ja Morant,Young Signature,Nike,Y,26,Grizzlies,PG,0.0082,0.0494,0.324,30.4,9400000,0.5138
Chet Holmgren,High-Value Targets,Nike,N,23,Thunder,C,0.0474,0.0741,0.219,27.4,949000,0.5062
James Harden,Established Signature,Adidas,Y,36,Cavaliers,PG,0.3628,0.0045,0.296,35.3,12000000,0.5025
Jamal Murray,High-Value Targets,New Balance,N,28,Nuggets,PG,0.0443,0.0535,0.241,36.1,1200000,0.5013
Jordan Clarkson,Marketable Role Players,Nike,N,33,Knicks,SG,0.5587,0.0265,0.28,26.0,2000000,0.4925
Kevin Durant,Established Signature,Nike,Y,37,Rockets,SF,-0.222,0.0608,0.289,36.5,13600000,0.4912
Lamelo Ball,Young Signature,Puma,Y,24,Hornets,PG,-0.2484,0.0395,0.354,32.0,10600000,0.485
Anthony Edwards,Young Signature,Adidas,Y,24,Timberwolves,SG,-0.3266,0.0325,0.313,36.3,5100000,0.4775
Amen Thompson,High-Value Targets,Nike,N,23,Rockets,SF,-0.1846,0.126,0.175,32.3,497000,0.4637
Austin Reaves,Marketable Role Players,Rigorer,Y,27,Lakers,SG,-0.1053,0.0591,0.236,34.9,1500000,0.455
Mikal Bridges,Marketable Role Players,Nike,N,29,Knicks,SF,-0.189,0.0907,0.196,37.0,492000,0.425
Zion Williamson,Young Signature,Jordan,Y,25,Pelicans,PF,-0.0199,0.0202,0.299,31.5,4800000,0.4212
Norman Powell,High-Value Targets,Sketchers,N,32,Heat,SG,0.1702,0.0201,0.259,32.6,346000,0.4063
Klay Thompson,Mixed Outcome,Anta,Y,35,Mavericks,SG,0.0905,0.0212,0.219,27.3,16700000,0.3763
Stephen Curry,Established Signature,FA,Y,37,Warriors,PG,-0.1308,0.0092,0.297,32.2,58300000,0.3575
Pascal Siakam,High-Value Targets,Nike,N,31,Pacers,PF,0.0883,0.0077,0.243,32.7,853000,0.3463
Ausar Thompson,High-Value Targets,Nike,N,22,Pistons,SF,-0.3322,0.1009,0.19,22.5,344000,0.345
Bronny James,Marketable Role Players,Nike,N,21,Lakers,SG,-0.5421,0.0956,0.206,6.7,7500000,0.345
Lebron James,Established Signature,Nike,Y,31,Lakers,SF,-0.3517,0.0016,0.301,34.9,157000000,0.3
Evan Mobley,High-Value Targets,Adidas,N,24,Cavaliers,PF,-0.3619,0.052,0.233,30.5,258000,0.2913
Jrue Holiday,High-Value Targets,Nike,N,35,Trail Blazers,PG,-0.2954,0.0633,0.158,30.6,862000,0.28
Zaccharie Risacher,High-Value Targets,FA,N,20,Hawks,SF,-0.3945,0.066,0.209,24.6,126000,0.2788
Tyrese Haliburton,Young Signature,Puma,Y,25,Pacers,PG,-0.3868,0.0277,0.217,33.6,2300000,0.275
Andrew Wiggins,Mixed Outcome,Peak,Y,30,Heat,SF,-0.6173,0.044,0.246,30.7,2000000,0.255
Lonzo Ball,Mixed Outcome,FA,Y,28,Cavaliers,PG,0.0228,0.0027,0.159,22.2,17700000,0.2338
Damian Lillard,Established Signature,Adidas,Y,35,Trail Blazers,PG,-0.6367,0.0032,0.277,36.1,9900000,0.205
Domantas Sabonis,High-Value Targets,Nike,N,29,Kings,C,-0.5106,0.0184,0.215,34.7,368000,0.1588
Walker Kessler,High-Value Targets,Adidas,N,24,Jazz,C,-0.7958,0.0077,0.137,30.0,109000,0.025
