athlete,bucket,brand_signed_with,has_signature_shoe,google_trends_pct_change,google_trends_12mo_avg
Brandon Miller,High-Value Targets,Nike,N,3.1496,8.49
Keyonte George,High-Value Targets,Nike,N,2.1429,7.48
Tyrese Maxey,Young Signature,New Balance,Y,1.0769,3.53
Giannis Antetokounmpo,Established Signature,Nike,Y,1.0,10.75
Deni Avdija,Young Signature,FA,Y,0.9824,3.34
Jordan Clarkson,Marketable Role Players,Nike,N,0.5587,4.25
Shaedon Sharpe,High-Value Targets,Nike,N,0.5355,8.08
James Harden,Established Signature,Adidas,Y,0.3628,6.36
Alex Sarr,High-Value Targets,Decathlon,N,0.3043,4.53
Scottie Barnes,High-Value Targets,Nike,N,0.2536,8.25
