athlete,bucket,brand_signed_with,ig_follower_count,engagement_rate_pct,google_trends_pct_change,minutes_per_game,usage_rate_pct
Stephon Castle ,High-Value Targets,Nike,297000,0.189,0.2097,26.7,0.259
Alperen Sengun,High-Value Targets,Nike,1300000,0.1835,0.1463,31.5,0.263
Alex Sarr,High-Value Targets,Decathlon,135000,0.1487,0.3043,27.1,0.236
Shaedon Sharpe,High-Value Targets,Nike,194000,0.1481,0.5355,31.3,0.251
Keyonte George,High-Value Targets,Nike,180000,0.148,2.1429,31.5,0.243
Jalen Duren ,High-Value Targets,Nike,213000,0.1311,0.0994,26.1,0.164
Amen Thompson,High-Value Targets,Nike,497000,0.126,-0.1846,32.3,0.175
Jalen WIlliams,High-Value Targets,Adidas,540000,0.113,0.0056,32.4,0.275
Ausar Thompson,High-Value Targets,Nike,344000,0.1009,-0.3322,22.5,0.19
Bronny James,Marketable Role Players,Nike,7500000,0.0956,-0.5421,6.7,0.206
