athlete,bucket,brand_signed_with,has_signature_shoe,age,current_team,position,ig_follower_count,engagement_rate_pct,google_trends_12mo_avg,google_trends_pct_change,minutes_per_game,points_per_game,usage_rate_pct
Brandon Miller,High-Value Targets,Nike,N,23,Hornets,SF,250000,0.0186,8.49,3.1496,34.2,21.0,0.277
Keyonte George,High-Value Targets,Nike,N,20,Jazz,PG,180000,0.148,7.48,2.1429,31.5,16.8,0.243
Jordan Clarkson,Marketable Role Players,Nike,N,33,Knicks,SG,2000000,0.0265,4.25,0.5587,26.0,16.2,0.28
Shaedon Sharpe,High-Value Targets,Nike,N,22,Trail Blazers,SG,194000,0.1481,8.08,0.5355,31.3,18.5,0.251
Alex Sarr,High-Value Targets,Decathlon,N,20,Wizards,C,135000,0.1487,4.53,0.3043,27.1,13.0,0.236
Scottie Barnes,High-Value Targets,Nike,N,24,Raptors,PF,807000,0.0282,8.25,0.2536,32.8,19.3,0.272
Stephon Castle ,High-Value Targets,Nike,N,21,Spurs,PG,297000,0.189,7.21,0.2097,26.7,14.7,0.259
Norman Powell,High-Value Targets,Sketchers,N,32,Heat,SG,346000,0.0201,7.96,0.1702,32.6,21.8,0.259
Alperen Sengun,High-Value Targets,Nike,N,23,Rockets,C,1300000,0.1835,11.49,0.1463,31.5,19.1,0.263
Jalen Duren ,High-Value Targets,Nike,N,22,Pistons,C,213000,0.1311,8.14,0.0994,26.1,11.8,0.164
Pascal Siakam,High-Value Targets,Nike,N,31,Pacers,PF,853000,0.0077,16.13,0.0883,32.7,20.2,0.243
Chet Holmgren,High-Value Targets,Nike,N,23,Thunder,C,949000,0.0741,20.83,0.0474,27.4,15.0,0.219
Jamal Murray,High-Value Targets,New Balance,N,28,Nuggets,PG,1200000,0.0535,12.25,0.0443,36.1,21.4,0.241
Jalen WIlliams,High-Value Targets,Adidas,N,24,Thunder,SG,540000,0.113,17.58,0.0056,32.4,21.6,0.275
Amen Thompson,High-Value Targets,Nike,N,23,Rockets,SF,497000,0.126,24.42,-0.1846,32.3,14.1,0.175
Mikal Bridges,Marketable Role Players,Nike,N,29,Knicks,SF,492000,0.0907,9.68,-0.189,37.0,17.6,0.196
Jrue Holiday,High-Value Targets,Nike,N,35,Trail Blazers,PG,862000,0.0633,9.51,-0.2954,30.6,11.1,0.158
Ausar Thompson,High-Value Targets,Nike,N,22,Pistons,SF,344000,0.1009,13.23,-0.3322,22.5,10.1,0.19
Evan Mobley,High-Value Targets,Adidas,N,24,Cavaliers,PF,258000,0.052,9.45,-0.3619,30.5,18.5,0.233
Zaccharie Risacher,High-Value Targets,FA,N,20,Hawks,SF,126000,0.066,3.0,-0.3945,24.6,12.6,0.209
Domantas Sabonis,High-Value Targets,Nike,N,29,Kings,C,368000,0.0184,2.67,-0.5106,34.7,19.1,0.215
Bronny James,Marketable Role Players,Nike,N,21,Lakers,SG,7500000,0.0956,27.08,-0.5421,6.7,2.3,0.206
Walker Kessler,High-Value Targets,Adidas,N,24,Jazz,C,109000,0.0077,6.4,-0.7958,30.0,11.1,0.137
