athlete,bucket,brand_signed_with,has_signature_shoe,age,current_team,position,google_trends_pct_change,engagement_rate_pct,usage_rate_pct,minutes_per_game,ig_follower_count,endorsement_score
Keyonte George,High-Value Targets,Nike,N,20,Jazz,PG,2.1429,0.148,0.243,31.5,180000,0.7212
Alperen Sengun,High-Value Targets,Nike,N,23,Rockets,C,0.1463,0.1835,0.263,31.5,1300000,0.7
Shaedon Sharpe,High-Value Targets,Nike,N,22,Trail Blazers,SG,0.5355,0.1481,0.251,31.3,194000,0.6838
Stephon Castle ,High-Value Targets,Nike,N,21,Spurs,PG,0.2097,0.189,0.259,26.7,297000,0.665
Alex Sarr,High-Value Targets,Decathlon,N,20,Wizards,C,0.3043,0.1487,0.236,27.1,135000,0.6362
Brandon Miller,High-Value Targets,Nike,N,23,Hornets,SF,3.1496,0.0186,0.277,34.2,250000,0.5762
Jalen WIlliams,High-Value Targets,Adidas,N,24,Thunder,SG,0.0056,0.113,0.275,32.4,540000,0.5687
Scottie Barnes,High-Value Targets,Nike,N,24,Raptors,PF,0.2536,0.0282,0.272,32.8,807000,0.545
Jalen Duren ,High-Value Targets,Nike,N,22,Pistons,C,0.0994,0.1311,0.164,26.1,213000,0.515
Chet Holmgren,High-Value Targets,Nike,N,23,Thunder,C,0.0474,0.0741,0.219,27.4,949000,0.5062
Jamal Murray,High-Value Targets,New Balance,N,28,Nuggets,PG,0.0443,0.0535,0.241,36.1,1200000,0.5013
Jordan Clarkson,Marketable Role Players,Nike,N,33,Knicks,SG,0.5587,0.0265,0.28,26.0,2000000,0.4925
Amen Thompson,High-Value Targets,Nike,N,23,Rockets,SF,-0.1846,0.126,0.175,32.3,497000,0.4637
Mikal Bridges,Marketable Role Players,Nike,N,29,Knicks,SF,-0.189,0.0907,0.196,37.0,492000,0.425
Norman Powell,High-Value Targets,Sketchers,N,32,Heat,SG,0.1702,0.0201,0.259,32.6,346000,0.4063
Pascal Siakam,High-Value Targets,Nike,N,31,Pacers,PF,0.0883,0.0077,0.243,32.7,853000,0.3463
Bronny James,Marketable Role Players,Nike,N,21,Lakers,SG,-0.5421,0.0956,0.206,6.7,7500000,0.345
Ausar Thompson,High-Value Targets,Nike,N,22,Pistons,SF,-0.3322,0.1009,0.19,22.5,344000,0.345
Evan Mobley,High-Value Targets,Adidas,N,24,Cavaliers,PF,-0.3619,0.052,0.233,30.5,258000,0.2913
Jrue Holiday,High-Value Targets,Nike,N,35,Trail Blazers,PG,-0.2954,0.0633,0.158,30.6,862000,0.28
Zaccharie Risacher,High-Value Targets,FA,N,20,Hawks,SF,-0.3945,0.066,0.209,24.6,126000,0.2788
Domantas Sabonis,High-Value Targets,Nike,N,29,Kings,C,-0.5106,0.0184,0.215,34.7,368000,0.1588
Walker Kessler,High-Value Targets,Adidas,N,24,Jazz,C,-0.7958,0.0077,0.137,30.0,109000,0.025
